,Engine,HI,OP1,OP2,OP3,RUL,Sensor1,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor2,Sensor20,Sensor21,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9
0,1,1,-0.0007,-0.0004,100,1,518.67,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100,641.82,39.06,23.419,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19
1,1,1,0.0019,-0.0003,100,2,518.67,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100,642.15,39.0,23.4236,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07
2,1,1,-0.0043,0.0003,100,3,518.67,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100,642.35,38.95,23.3442,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94
3,1,1,0.0007,0.0,100,4,518.67,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100,642.35,38.88,23.3739,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48
4,1,1,-0.0019,-0.0002,100,5,518.67,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100,642.37,38.9,23.4044,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15
5,1,1,-0.0043,-0.0001,100,6,518.67,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100,642.1,38.98,23.3669,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68
6,1,1,0.001,0.0001,100,7,518.67,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100,642.48,39.1,23.3774,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13
7,1,1,-0.0034,0.0003,100,8,518.67,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100,642.56,38.97,23.3106,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8
8,1,1,0.0008,0.0001,100,9,518.67,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100,642.12,39.05,23.4066,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46
9,1,1,-0.0033,0.0001,100,10,518.67,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100,641.71,38.95,23.4694,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7
10,1,1,0.0018,-0.0003,100,11,518.67,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100,642.28,38.94,23.4787,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61
11,1,1,0.0016,0.0002,100,12,518.67,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100,642.06,39.06,23.366,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37
12,1,1,-0.0019,0.0004,100,13,518.67,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100,643.07,38.93,23.2757,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82
13,1,1,0.0009,0.0,100,14,518.67,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100,642.35,39.18,23.3826,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37
14,1,1,-0.0018,-0.0003,100,15,518.67,1.3,47.3,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100,642.43,38.99,23.35,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22
15,1,1,0.0006,0.0005,100,16,518.67,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100,642.13,38.97,23.455,1587.98,1404.5,14.62,21.61,553.94,2388.05,9049.34
16,1,1,0.0002,0.0002,100,17,518.67,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100,642.58,38.81,23.3319,1584.96,1399.95,14.62,21.61,553.8,2388.06,9054.92
17,1,1,-0.0031,-0.0001,100,18,518.67,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100,642.62,38.89,23.3987,1591.04,1396.12,14.62,21.61,554.2,2388.05,9049.55
